job_id,title,employer_name,city,state,country,is_remote,employment_type,min_salary,max_salary,salary_currency,salary_period,description,apply_link,posted_at_datetime,job_publisher,required_experience,required_skills,required_education,benefits,google_link,expiration_datetime
DjILUdMFIDOQrjVqAAAAAA==,"Backend Engineer - (Java / Python, AWS)",TymeX,Washington,District of Columbia,US,False,Full-time,,,,,"Backend Engineer Our team is responsible for creating a brand new suite of digital financial platforms and apps that are highly reliable and scalable, using modern engineering practices. You will be joining a project with talented software engineers in our Digital Bank Build team, who are responsible for designing, building, and maintaining the new digital banking platform and its customer channels. As part of the team, you will implement software features, participate in technical designs, and ...",https://www.talent.com/view?id=8550ec053b94&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-13T00:00:00.000Z,Talent.com,,[],,,https://www.google.com/search?q=jobs&gl=us&hl=en&udm=8#vhid=vt%3D20/docid%3DDjILUdMFIDOQrjVqAAAAAA%3D%3D&vssid=jobs-detail-viewer,
spM5fiorSt9e0rafAAAAAA==,Backend Python Developer,VirtualVocations,Alexandria,Virginia,US,False,Full-time,,,,,A company is looking for a Backend Python Developer with 4+ years of application development experience. Key Responsibilities Develop and maintain backend applications using Python Collaborate with cross-functional teams to design and implement technology solutions Mentor junior developers and contribute to team knowledge sharing Required Qualifications 4+ years of backend development experience (Python preferred) Experience with Docker / Kubernetes for containerization and orchestration Profici...,https://www.talent.com/view?id=26a0588d65fa&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-16T00:00:00.000Z,Talent.com,,[],,,https://www.google.com/search?q=jobs&gl=us&hl=en&udm=8#vhid=vt%3D20/docid%3DspM5fiorSt9e0rafAAAAAA%3D%3D&vssid=jobs-detail-viewer,
Jq8DrGewncRbKAKVAAAAAA==,Senior Java Python Developer,VirtualVocations,Arlington,Virginia,US,False,Full-time,,,,,"A company is looking for a Senior Java / Python Developer. Key Responsibilities Participate in technical planning, requirements gathering, design, coding, testing, and documentation of software applications Ensure adherence to technical software development processes and industry best practices Develop applications using Java and Python while collaborating with team members of varying experience levels Required Qualifications Hands-on experience in software development, particularly with large-s...",https://www.talent.com/view?id=b8723d0289bf&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-15T00:00:00.000Z,Talent.com,,[],,,https://www.google.com/search?q=jobs&gl=us&hl=en&udm=8#vhid=vt%3D20/docid%3DJq8DrGewncRbKAKVAAAAAA%3D%3D&vssid=jobs-detail-viewer,
iivuoJbFjflMPJOlAAAAAA==,"Senior Software Developer - Frontend, Backend, Stack, or Mobile",Walmart,Washington,District of Columbia,US,False,Full-time and Part-time,108000.0,216000.0,,YEAR,"Position Summary... What you'll do... As a part of Walmart Global Tech, you’ll build industry defining reusable customer and partner facing services and products to lead differentiated experiences and revenue. You will be in the unique position to be of service to both our customers (1P as well as 3P) and our associates as a member of this organization supporting all segments of Walmart. If you are the type of person who feels a personal stake in everything that you work on, has a love for data,...","https://www.ziprecruiter.com/c/Walmart/Job/Senior-Software-Developer-Frontend,-Backend,-Stack,-or-Mobile/-in-Washington,DC?jid=1b2def81a6c9bbe6&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",2026-01-15T00:00:00.000Z,ZipRecruiter,,[],,"health_insurance, dental_coverage, paid_time_off",https://www.google.com/search?q=jobs&gl=us&hl=en&udm=8#vhid=vt%3D20/docid%3DiivuoJbFjflMPJOlAAAAAA%3D%3D&vssid=jobs-detail-viewer,
jEumLDHuH6drWIxrAAAAAA==,Backend Developer (Go / Kotlin) ID48361,AgileEngine,Washington,District of Columbia,US,False,Full-time,,,,,"Job Description AgileEngine is an Inc. 5000 company that creates award-winning software for Fortune 500 brands and trailblazing startups across 17+ industries. We rank among the leaders in areas like application development and AI / ML, and our people-first culture has earned us multiple Best Place to Work awards. WHY JOIN US If you're looking for a place to grow, make an impact, and work with people who care, we'd love to meet you! ABOUT THE ROLE As a Backend Engineer (Go / Kotlin) , you will b...",https://www.talent.com/view?id=f709a42cec34&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-15T00:00:00.000Z,Talent.com,,[],,,https://www.google.com/search?q=jobs&gl=us&hl=en&udm=8#vhid=vt%3D20/docid%3DjEumLDHuH6drWIxrAAAAAA%3D%3D&vssid=jobs-detail-viewer,
T81zQiJvtLYXYOblAAAAAA==,Full-Stack Python Developer,VirtualVocations,Fairfax,Virginia,US,False,Full-time,,,,,"A company is looking for a Full-Stack Python Developer to build and maintain a meeting feedback and analytics platform. Key Responsibilities Develop and maintain a Flask-based web application with PostgreSQL database Build email integrations for ingesting calendar invitations Create automated survey systems and generate reports and analytics Required Qualifications 3-5 years of experience in software development Proficiency in Python 3, Flask, and SQLAlchemy Experience with PostgreSQL and databa...",https://www.talent.com/view?id=9235ce39f453&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-15T00:00:00.000Z,Talent.com,,[],,,https://www.google.com/search?q=jobs&gl=us&hl=en&udm=8#vhid=vt%3D20/docid%3DT81zQiJvtLYXYOblAAAAAA%3D%3D&vssid=jobs-detail-viewer,
FsN-6FTzCHx4sRKuAAAAAA==,Python Developer (only w2)_Onsite,Jobs via Dice,Tewksbury,New Jersey,US,False,Full-time,,,,,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, ProCorp Systems Inc., is seeking the following. Apply via Dice today! Python Engineer / Programmer Responsibilities: • Focus on continued build out/improvement of the current data stores (Oracle, CEPH, and possibly MongoDB) including data access and persistence. • Requirement of prior knowledge/experience with database concepts such as SQL tuning, indexes, views, stored procedures, etc. • Profici...",https://www.linkedin.com/jobs/view/python-developer-only-w2-onsite-at-jobs-via-dice-4364034325?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-17T01:00:00.000Z,LinkedIn,,[],,,https://www.google.com/search?q=jobs&gl=us&hl=en&udm=8#vhid=vt%3D20/docid%3DFsN-6FTzCHx4sRKuAAAAAA%3D%3D&vssid=jobs-detail-viewer,
8dgy3I4JWV3h3ZyZAAAAAA==,Backend Developer (Python & Node.js),VirtualVocations,New York,New York,US,False,Full-time,,,,,"A company is looking for a Backend Developer (Python & Node.js). Key Responsibilities Design, develop, test, and maintain backend services and APIs using Python and Node.js Build and support RESTful APIs and microservices Collaborate with DevOps teams to support CI / CD pipelines and troubleshoot production issues Required Qualifications 6+ years of professional backend development experience Strong hands-on experience with Python and Node.js Experience designing and building RESTful APIs and mi...",https://www.talent.com/view?id=3c24fe7579bd&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-16T00:00:00.000Z,Talent.com,,[],,,https://www.google.com/search?q=jobs&gl=us&hl=en&udm=8#vhid=vt%3D20/docid%3D8dgy3I4JWV3h3ZyZAAAAAA%3D%3D&vssid=jobs-detail-viewer,
Y_4aa6T-1CK3uHVDAAAAAA==,Lead Python Engineer - Backend,Nodes.inc,West New York,New Jersey,US,False,Full-time,,,,,"Job Brief As a Lead Python Engineer, you will architect and build the core backend systems that power our B2B platform, directly impacting thousands of enterprise users. You will take ownership of our cloud infrastructure, drive key architectural decisions, and mentor a talented team of engineers, shaping the future of our technology stack. In this role, you will leverage your deep expertise in Python and AWS to design, build, and deploy scalable and resilient services. This position offers a si...",https://www.linkedin.com/jobs/view/lead-python-engineer-backend-at-nodes-inc-4354765444?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-13T00:00:00.000Z,LinkedIn,,[],,health_insurance,https://www.google.com/search?q=jobs&gl=us&hl=en&udm=8#vhid=vt%3D20/docid%3DY_4aa6T-1CK3uHVDAAAAAA%3D%3D&vssid=jobs-detail-viewer,
9Ba8GRsO2ildEk5eAAAAAA==,Java FSD with Python,Maintec Technologies,Reston,Virginia,US,False,Full-time,,,,,"Java FSD with Python Candidates must have experience with Python, AWS, ETL. • Analyze design documents to develop system-level software applications.",https://us.bebee.com/job/28de478c7f83a0b0a1db0af50d3bb9a8?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-12T00:00:00.000Z,BeBee,,[],,,https://www.google.com/search?q=jobs&gl=us&hl=en&udm=8#vhid=vt%3D20/docid%3D9Ba8GRsO2ildEk5eAAAAAA%3D%3D&vssid=jobs-detail-viewer,
