job_id,title,employer_name,city,state,country,is_remote,employment_type,min_salary,max_salary,salary_currency,salary_period,description,apply_link,posted_at_datetime,job_publisher,required_experience,required_skills,required_education,benefits,google_link,expiration_datetime
CmW7qP0H_RZE7R2OAAAAAA==,Technical Support Specialist (Level-1) - Fresher,Clear,,,IN,False,Full–time,,,,,"As a customer-focused SaaS Technical Support Executive at our company, you will play a crucial role in providing end-to-end support to clients using our SaaS products. Your main responsibility will be to diagnose and troubleshoot technical issues, ensuring a smooth and positive support experience for our customers. Here are the key responsibilities associated with this role: - Provide end-to-end support to clients via phone calls and ticket management systems - Analyze error logs, review screens...",https://www.shine.com/jobs/technical-support-specialist-level-1-fresher/clear/18416447?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-15T00:00:00.000Z,Shine,,[],,,https://www.google.com/search?q=jobs&gl=in&hl=en&udm=8#vhid=vt%3D20/docid%3DCmW7qP0H_RZE7R2OAAAAAA%3D%3D&vssid=jobs-detail-viewer,
mx1XnK9IMAgxDNsyAAAAAA==,Internships and Fresher Jobs,Young Rush,,,IN,False,"Full–time, Part-time and Internship",,,,,"Search and apply for the newest fresher and graduate jobs across India. Explore engineering roles, IT openings, graduate trainee programs, and entry-level positions from top companies. Start your career journey today with Young Rush’s easy job search and direct employer connections.",https://www.youngrush.com/internship-freshers-jobs?city_id%5B%5D=5022&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-12T00:00:00.000Z,Young Rush,,[],,,https://www.google.com/search?q=jobs&gl=in&hl=en&udm=8#vhid=vt%3D20/docid%3Dmx1XnK9IMAgxDNsyAAAAAA%3D%3D&vssid=jobs-detail-viewer,
NmlBs9jtxnbTgH_NAAAAAA==,Freshers - Associate Consultants - Fresher,Intequra Consulting,,,IN,True,Full–time,,,,,"About the job: Company Description Intequra specializes in optimizing enterprise technology systems post-go-live, ensuring peak performance and long-term value. The company provides services such as post-go-live optimization, risk management, and project assurance, focusing on ERP, HCM, CRM, and Sales systems. By leveraging a network of specialized experts and employing a structured methodology, Intequra ensures efficient, reliable outcomes for its clients. Functioning as an extension of their c...",https://internshala.com/job/detail/fresher-remote-freshers-associate-consultants-job-at-intequra-consulting1768610152?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-17T00:00:00.000Z,Internshala,,[],,,https://www.google.com/search?q=jobs&gl=in&hl=en&udm=8#vhid=vt%3D20/docid%3DNmlBs9jtxnbTgH_NAAAAAA%3D%3D&vssid=jobs-detail-viewer,
YmFgADqHSVzSZ6V5AAAAAA==,Data Entry Operator – Work From Home / Office in Nagpur (Fresher Welcome),BrightDesk Solutions Pvt. Ltd.,Nagpur,Maharashtra,IN,False,"Full–time, Part-time and Contractor",,,,YEAR,"We are hiring Data Entry Operators for a growing organization. This opportunity is suitable for freshers, students, housewives, and part-time job seekers who are looking for a stable income with flexible working options. The role involves entering and updating data accurately into our system. Training will be provided, so prior experience is not mandatory. 🔹 Responsibilities Enter data accurately in Excel / software Verify and update existing records Maintain confidentiality of data Complete dai...",https://getworkdaily.in/job/data-entry-operator-work-from-home-office-in-nagpur-fresher-welcome/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-16T00:00:00.000Z,Getworkdaily.in,,[],,,https://www.google.com/search?q=jobs&gl=in&hl=en&udm=8#vhid=vt%3D20/docid%3DYmFgADqHSVzSZ6V5AAAAAA%3D%3D&vssid=jobs-detail-viewer,
4SLiuvV3WFbhmNGNAAAAAA==,Data Analytics Trainee - Fresher,HEXA SOLUTIONS,,,IN,True,Full–time,,,,YEAR,"About the job: As a Data Analytics Trainee, you will have the opportunity to work with a dynamic team of professionals and gain hands-on experience in the exciting field of data analytics. With your expertise in Python, SQL, Data Analytics, MS-Excel, Data Science, Power BI, Tableau, Data Analysis, Data Cleaning, Data Manipulation, Data Interpretation, English Proficiency (Spoken), English Proficiency (Written), and MS-Office, you will play a crucial role in analyzing and interpreting data to dri...",https://internshala.com/job/detail/fresher-remote-data-analytics-trainee-job-at-hexa-solutions1768554642?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-16T00:00:00.000Z,Internshala,,[],,,https://www.google.com/search?q=jobs&gl=in&hl=en&udm=8#vhid=vt%3D20/docid%3D4SLiuvV3WFbhmNGNAAAAAA%3D%3D&vssid=jobs-detail-viewer,
lnvgQgtEH_8EpmsrAAAAAA==,MIS Analyst - Fresher,Skylight Mediakart Solutions LLP,,,IN,False,Full–time,,,,,"As a Campaign Analyst (Digital Ads), your role involves preparing and sharing daily client reports with key metrics such as impressions, clicks, video views, reach, placements, and geo-wise data with 99% accuracy and 100% on-time delivery. You will be responsible for managing client queries promptly, acknowledging them within 30-60 minutes, and resolving them within 4 working hours. Your duties will also include coordinating campaign setup and go-live communications, monitoring campaign performa...",https://www.shine.com/jobs/mis-analyst-fresher/skylight-mediakart-solutions-llp/18411935?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-15T00:00:00.000Z,Shine,,[],,,https://www.google.com/search?q=jobs&gl=in&hl=en&udm=8#vhid=vt%3D20/docid%3DlnvgQgtEH_8EpmsrAAAAAA%3D%3D&vssid=jobs-detail-viewer,
wtXPKZuUVectNn48AAAAAA==,Business Developer IT (Fresher),clarigo infotech private limited,,,IN,False,Full–time,,,,MONTH,"Job Title: Business Development (BD) Executive – IT (Fresher) Location: Indore, Madhya Pradesh Work Mode: On-site Experience: Fresher Internship Duration: Initial 2 Months (Training / Internship) Employment Type: Internship → Full-Time (Based on Performance) Job Description: We are looking for a motivated Business Development (BD) Executive – IT (Fresher) to join our on-site team in Indore. The selected candidate will undergo 2 months of internship/training, after which they will be offered a fu...","https://www.glassdoor.co.in/job-listing/business-developer-it-fresher-clarigo-infotech-private-limited-JV_KO0,29_KE30,62.htm?jl=1010000695966&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",2026-01-16T00:00:00.000Z,Glassdoor,,[],,,https://www.google.com/search?q=jobs&gl=in&hl=en&udm=8#vhid=vt%3D20/docid%3DwtXPKZuUVectNn48AAAAAA%3D%3D&vssid=jobs-detail-viewer,
_YyjPCoY9bX9trHkAAAAAA==,Credit/ Finance Analyst - Fresher,S.A. Agarwal & Associates,,,IN,True,Full–time,,,,,"About the job: The ideal candidate will be responsible for using their analytical mindset to analyze and interpret financial data, then relating it to potential business trends and issues. This candidate will feel comfortable using insights they have discovered to communicate important themes and discoveries to company leadership. Job Role: • Preparation of PD Sheets for various banks & NBFC's • Preparation of CAM • MIS Preparation • Team Management • Reporting in TAT • Should have the ability t...",https://internshala.com/job/detail/fresher-remote-credit-finance-analyst-job-at-sa-agarwal-associates1768642573?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-17T00:00:00.000Z,Internshala,,[],,,https://www.google.com/search?q=jobs&gl=in&hl=en&udm=8#vhid=vt%3D20/docid%3D_YyjPCoY9bX9trHkAAAAAA%3D%3D&vssid=jobs-detail-viewer,
llR9CyWOz1Jj-R5ZAAAAAA==,IT Fresher (Recruiter),AspiringIT,,,IN,False,Contractor,,,,,"Job Title: IT Fresher (Recruiter) Location: Gujarat (Hybrid) Experience: Fresher or up to 1 year Duration: Contract to Full-Time Time Zone: Eastern Standard Time (EST) We are thrilled to announce an opening for the position of Junior Recruiter with our dynamic team. If you are passionate about building a career in recruitment and eager to learn, this is the perfect opportunity for you! What You’ll Do ✅ Assist in sourcing, screening, and qualifying candidates for IT positions in the USA and Canad...",https://in.linkedin.com/jobs/view/it-fresher-recruiter-at-aspiringit-4364012874?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-16T22:00:00.000Z,LinkedIn,,[],,,https://www.google.com/search?q=jobs&gl=in&hl=en&udm=8#vhid=vt%3D20/docid%3DllR9CyWOz1Jj-R5ZAAAAAA%3D%3D&vssid=jobs-detail-viewer,
xbIz7RUA7fNof-U0AAAAAA==,SD PYTHON - fresher,Telecommunications TALENT IT SOLUTIONS,,,IN,False,Full–time,,,,,"Job Description: You will be joining TALENT IT SOLUTIONS in Gurgaon as a fresher in the role of SD PYTHON. This position requires 0 - 8 years of experience and a Bachelor Degree qualification. Role Overview: As a fresher in the role of SD PYTHON at TALENT IT SOLUTIONS, you will be responsible for developing and maintaining Python applications. You will work closely with the team to deliver high-quality software solutions. Key Responsibilities: - Develop and maintain Python applications - Collabo...",https://www.shine.com/jobs/sd-python-fresher/telecommunications-talent-it-solutions/18417114?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-15T00:00:00.000Z,Shine,,[],,,https://www.google.com/search?q=jobs&gl=in&hl=en&udm=8#vhid=vt%3D20/docid%3DxbIz7RUA7fNof-U0AAAAAA%3D%3D&vssid=jobs-detail-viewer,
