job_id,title,employer_name,city,state,country,is_remote,employment_type,min_salary,max_salary,salary_currency,salary_period,description,apply_link,posted_at_datetime,job_publisher,required_experience,required_skills,required_education,benefits,google_link,expiration_datetime
swLb0W_vzVTn-YD_AAAAAA==,Guest Services Intern,RATEGAIN TRAVEL TECHNOLOGIES PRIVATE LIMITED,,,IN,False,Full–time,,,,,"As a Guest Services Desk Intern at TippyTrip Travel Technologies Pvt Ltd located in Gurugram, India, you will have the opportunity to be at the forefront of a travel service startup, representing the company's energy and innovation. Your role will involve managing inquiries with professionalism and a smile, both in person and over calls/emails, supporting the travel operations team, learning to navigate leading travel tech platforms and booking tools, and contributing ideas to enhance guest expe...",https://www.shine.com/jobs/guest-services-intern/rategain-travel-technologies-private-limited/18425684?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-16T23:00:00.000Z,Shine,,[],,,https://www.google.com/search?q=jobs&gl=in&hl=en&udm=8#vhid=vt%3D20/docid%3DswLb0W_vzVTn-YD_AAAAAA%3D%3D&vssid=jobs-detail-viewer,
cXVUDR5y3_eAQOP_AAAAAA==,Internship - Whatsapp (social media) - till 26 March 2026,Comnet Exhibitions,,,IN,False,Internship,,,,,"Internship – WhatsApp Marketing - till 25 March 2026 Event: • Convergence India Show - https://www.convergenceindia.org/ • India's Biggest Tech Trade Show Who can apply: Freshers or individuals looking to take their first step into the social media marketing domain. Prior relevant work or internship experience will be an added advantage. What you will do: • Send WhatsApp messages to promote the Convergence India Show • Check content for grammar, clarity, and readability before sending • Help rea...",https://www.simplyhired.co.in/job/cbzxQJ39lu54FRCKko3b7SN6SQkJ6BDbEDeL6DjsVPzYOk8nMSHZjw?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-16T00:00:00.000Z,SimplyHired,,[],,,https://www.google.com/search?q=jobs&gl=in&hl=en&udm=8#vhid=vt%3D20/docid%3DcXVUDR5y3_eAQOP_AAAAAA%3D%3D&vssid=jobs-detail-viewer,
Wjib8F1Q__Ea43lUAAAAAA==,"Marketing Research And Product Development Internship in Varanasi, Bangalore, Mumbai, Delhi (Hybrid)",Resham Sutra,,,IN,False,Internship,,,,,"Are you a creative and tech-savvy individual looking to gain hands-on experience in marketing and product development? Resham Sutra Pvt Ltd is seeking a talented marketing research and product development intern to join our dynamic team. As an intern, you will have the opportunity to work alongside experienced professionals and contribute to exciting projects that will shape the future of our company. Selected Intern's Day-to-day Responsibilities Include • Conduct market research to identify tre...",https://in.linkedin.com/jobs/view/marketing-research-and-product-development-internship-in-varanasi-bangalore-mumbai-delhi-hybrid-at-resham-sutra-4363641082?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-16T00:00:00.000Z,LinkedIn,,[],,,https://www.google.com/search?q=jobs&gl=in&hl=en&udm=8#vhid=vt%3D20/docid%3DWjib8F1Q__Ea43lUAAAAAA%3D%3D&vssid=jobs-detail-viewer,
6nadG21-KPJIoftUAAAAAA==,Junior Virtual Data Analysis Associate Intern,YuvaIntern,,,IN,False,Full–time,,,,,"**Job Description:** You will be responsible for supporting data analysis projects and assisting in interpreting and visualizing data insights. You will work closely with senior analysts to gather and analyze data, create reports, and provide valuable insights to the team. This internship will provide you with hands-on experience in data analysis techniques and tools. • *Key Responsibilities:** - Support data analysis projects - Assist in interpreting and visualizing data insights - Work closely...",https://www.shine.com/jobs/junior-virtual-data-analysis-associate-intern/yuvaintern/18432910?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-17T01:00:00.000Z,Shine,,[],,,https://www.google.com/search?q=jobs&gl=in&hl=en&udm=8#vhid=vt%3D20/docid%3D6nadG21-KPJIoftUAAAAAA%3D%3D&vssid=jobs-detail-viewer,
0r5yQK5BlQJiq07_AAAAAA==,Strategic Partnerships Internship,wipro,Hyderabad,Telangana,IN,False,Full–time,,,,,"Wipro is hiring for the role of Strategic Partnerships Intern! Responsibilities of the Intern: • Collaborate with global teams and senior leaders on internal initiatives aligned to our strategic partners. • Initiatives will offer practical experience and exposure to the Wipro organization. • Identify business requirements, translate into an actionable plan, and produce quality work. • Participate in key meetings with partner leaders and cross-functional stakeholders. • Engage and network with se...",https://unstop.com/internships/strategic-partnerships-internship-wipro-1624024?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-14T00:00:00.000Z,Unstop,,[],,,https://www.google.com/search?q=jobs&gl=in&hl=en&udm=8#vhid=vt%3D20/docid%3D0r5yQK5BlQJiq07_AAAAAA%3D%3D&vssid=jobs-detail-viewer,
6DwpNxrP8qD-zW4PAAAAAA==,Research Intern,Firman Solutions,Hyderabad,Telangana,IN,False,Full–time,,,,,"About the Role Qualifications • Recently completed a bachelor’s degree. Required Skills • Strong knowledge of PC/Laptop usage. • Ability to work independently and collaborate effectively. • Detail-oriented with strong analytical, problem-solving, and communication skills. • Proficient in Microsoft Excel & Word. • Comfortable learning new tools.",https://in.linkedin.com/jobs/view/research-intern-at-firman-solutions-4360035467?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-16T20:00:00.000Z,LinkedIn,,[],,,https://www.google.com/search?q=jobs&gl=in&hl=en&udm=8#vhid=vt%3D20/docid%3D6DwpNxrP8qD-zW4PAAAAAA%3D%3D&vssid=jobs-detail-viewer,
88UgBRsbMrMLchGKAAAAAA==,Junior Software Engineer- Intern,confidential,,,IN,False,Full–time,,,,,"As a Junior Software Developer at Gradtwin, you will be involved in the development of software applications and back-end web development. Your responsibilities will include writing high-quality code, applying object-oriented programming principles, and collaborating with the development team to troubleshoot issues. This full-time, on-site internship role based in Chennai offers you the opportunity to gain real-world experience and enhance your technical and professional skills. Key Responsibili...",https://www.shine.com/jobs/junior-software-engineer-intern/confidential/18416363?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-15T00:00:00.000Z,Shine,,[],,,https://www.google.com/search?q=jobs&gl=in&hl=en&udm=8#vhid=vt%3D20/docid%3D88UgBRsbMrMLchGKAAAAAA%3D%3D&vssid=jobs-detail-viewer,
n9tUm690bgOfmB1LAAAAAA==,Campus Engagement Internship,Naviotech Solution Pvt. Ltd.,,,IN,True,Full–time,,,,,"Responsibilities of the Intern: • Act as the primary point of contact between the organization and students. • Promote opportunities, events, and initiatives through social media, word-of-mouth, and campus channels. • Build awareness and visibility of the brand among students and faculty. • Assist in planning and executing campus events, workshops, and info sessions. • Facilitate smooth operations by coordinating logistics, registrations, and participant engagement. • Represent the brand during ...",https://unstop.com/internships/campus-engagement-internship-winter-challenge-naviotech-solution-pvt-ltd-1624036?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-15T00:00:00.000Z,Unstop,,[],,,https://www.google.com/search?q=jobs&gl=in&hl=en&udm=8#vhid=vt%3D20/docid%3Dn9tUm690bgOfmB1LAAAAAA%3D%3D&vssid=jobs-detail-viewer,
0XcawgPOhsex86L5AAAAAA==,ASIC Design Intern,Arrow Electronics India Pvt Ltd,,,IN,False,Full–time,,,,,"Intern - ASIC-2026 Aditi Sneh Position: Intern - ASIC-2026 Aditi SnehJob Description: Principal Accountabilities: • Currently enrolled and pursuing a Bachelor’s or Master’s Degree • Strong verbal and written communication skills • Ability to prioritize based on opportunities and effectively multitask • Proficient with MS Office • Customer Service and detail oriented mind set Job Complexity Varies based on role Experience / Education Varies based on role Location: IN-UP-Noida, India-World Trade T...",https://apna.co/job/noida/intern-asic-2026-aditi-sneh-1671924550?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-16T00:00:00.000Z,Apna Jobs,,[],,,https://www.google.com/search?q=jobs&gl=in&hl=en&udm=8#vhid=vt%3D20/docid%3D0XcawgPOhsex86L5AAAAAA%3D%3D&vssid=jobs-detail-viewer,
ze-R8bLfoOCpkSnEAAAAAA==,Hiring: Web Development Intern (Internship),Percept Infosystem,Nagpur,Maharashtra,IN,False,Internship,,,,,"Hiring: Web Development Intern (Internship) We’re looking for enthusiastic Web Development Interns to work on live projects and gain hands-on experience. Requirements: • Basic knowledge of HTML, CSS, JavaScript • Willingness to learn and build real-world applications Perks: • Live Project Experience • Internship Certificate • Mentorship & Skill Development Interested candidates, apply now or DM for details! ️ Call: 7414977373 Email:",https://www.postjobfree.com/job/an33gv/hiring-web-development-nagpur-india?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-15T00:00:00.000Z,Post Jobs For Free,,[],,,https://www.google.com/search?q=jobs&gl=in&hl=en&udm=8#vhid=vt%3D20/docid%3Dze-R8bLfoOCpkSnEAAAAAA%3D%3D&vssid=jobs-detail-viewer,
