job_id,title,employer_name,city,state,country,is_remote,employment_type,min_salary,max_salary,salary_currency,salary_period,description,apply_link,posted_at_datetime,job_publisher,required_experience,required_skills,required_education,benefits,google_link,expiration_datetime
bwWcSyzKzKlsmLa7AAAAAA==,Scrum Master / IT Project Manager,Cognodata,,,ES,False,A tiempo completo,,,,,"En Cognodata, consultora líder en soluciones IA/BI y transformación digital, ayudamos a nuestros clientes a convertir datos en decisiones con impacto real en el negocio. ¿Te apasiona la metodología Agile y la gestión de proyectos digitales ? ¿Quieres formar parte de un proyecto innovador? ¡Esta oportunidad es para ti! Buscamos un Scrum Master / IT Project Manager para proyecto del sector ferroviario. 📍 Ubicación: Madrid (con teletrabajo parcial) 🗓 Inicio: Febrero / Marzo 2026 Sobre el rol: Para ...",https://es.jooble.org/jdp/4578224351642025540?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Jooble,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DbwWcSyzKzKlsmLa7AAAAAA%3D%3D&vssid=jobs-detail-viewer,
8XS-JI90a22ivMerAAAAAA==,Scrum Master / IT Project Manager,Cognodata,,,ES,False,A tiempo completo,,,,,"En Cognodata, consultora líder en soluciones IA/BI y transformación digital, ayudamos a nuestros clientes a convertir datos en decisiones con impacto real en el negocio. ¿Te apasiona la metodología Agile y la gestión de proyectos digitales? ¿Quieres formar parte de un proyecto innovador? ¡Esta oportunidad es para ti! Buscamos un Scrum Master / IT Project Manager para proyecto del sector ferroviario. 📍 Ubicación: Madrid (con teletrabajo parcial) 🗓 Inicio: Febrero / Marzo 2026 Sobre el rol: Para n...",https://es.linkedin.com/jobs/view/scrum-master-it-project-manager-at-cognodata-4353184140?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,LinkedIn,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3D8XS-JI90a22ivMerAAAAAA%3D%3D&vssid=jobs-detail-viewer,
nqBVhgeZlS8Mn98fAAAAAA==,Scrum / Agile Master,adesso Spain,Sallent,Barcelona,ES,False,A tiempo completo,,,,,"With a team of about 10,000 employees in 60 cities across Europe, adesso is one of the leading IT providers in the German-speaking market. ¿Todo listo para enviar su solicitud? Por favor, lea la descripción al menos una vez antes de hacer clic en ""Solicitar"". For our office in adesso Spain ,We are looking for an experienced Scrum / Agile Master to join our team and support agile software development initiatives. You will guide teams through agile processes, ensure successful project delivery, an...",https://es.talent.com/view?id=c315dc6e5f02&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Talent.com,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DnqBVhgeZlS8Mn98fAAAAAA%3D%3D&vssid=jobs-detail-viewer,
NcscDPoug9JJufOPAAAAAA==,Scrum Master / IT Project Manager,Cognodata,,,ES,False,A tiempo completo,,,,,"En Cognodata, consultora líder en soluciones IA/BI y transformación digital, ayudamos a nuestros clientes a convertir datos en decisiones con impacto real en el negocio. ¿Te apasiona la metodología Agile y la gestión de proyectos digitales ? ¿Quieres formar parte de un proyecto innovador? ¡Esta oportunidad es para ti! Buscamos un Scrum Master / IT Project Manager para proyecto del sector ferroviario. Ubicación: Madrid (con teletrabajo parcial) Inicio: Febrero / Marzo 2026 Sobre el rol: Para nues...",https://www.recruit.net/job/scrum-master-project-manager-jobs/D1CDC8F8DBA48384?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Recruit.net,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DNcscDPoug9JJufOPAAAAAA%3D%3D&vssid=jobs-detail-viewer,
riAnKcyYB17_yTxVAAAAAA==,Gestor de proyecto y responsable de Scrum,Apiux Tech,Palma,Illes Balears,ES,False,A tiempo completo,,,,,"¡Apiux está buscando un / a SCRUM MASTER para BILBAO!!! Presente su candidatura después de leer los siguientes requisitos de habilidades y cualificaciones para este puesto. Somos una empresa tecnológica especializada en apoyar a organizaciones de todas las industrias en su proceso de Transformación Digital. Estamos presentes en Chile, Perú, Colombia, EE. UU, España y seguimos en constante expansión. Cliente : Líder en el Sector Experiencia : 5 años Contrato : Indefinido Modalidad : Hibrido Bilba...",https://es.talent.com/view?id=9c2f0b036ca3&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Talent.com,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DriAnKcyYB17_yTxVAAAAAA%3D%3D&vssid=jobs-detail-viewer,
iNZeyN5boHi_hPjGAAAAAA==,Scrum Master / Project Manager Madrid International Project,ALTEN Delivery Centre Spain,Madrid,Madrid,ES,False,A tiempo completo,,,,,Are you looking for the next challenge in your career? Would you like to be part of an exciting highly qualified team of professionals in an international environment? We are currently looking for a qualified Scrum Master / Project Manager Madrid Join an international division and work alongside some of the most talented engineers and technicians from all over the world. Your benefits: • Competitive Salary. • Long-term secure contract. • International Project with top technologies • Possibility ...,https://es.linkedin.com/jobs/view/scrum-master-project-manager-madrid-international-project-at-alten-delivery-centre-spain-4353034700?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,LinkedIn,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DiNZeyN5boHi_hPjGAAAAAA%3D%3D&vssid=jobs-detail-viewer,
r17CMLPbpKbuYpIDAAAAAA==,Project Manager Desarrollo (Agile Coach - Scrum Master),Michael Page,Madrid,Madrid,ES,False,A tiempo completo,,,,,"¿Dónde vas a trabajar?Nuestro cliente es una gran organización del sector de seguros, reconocida por su fuerte enfoque en la innovación tecnológica y su compromiso con la mejora continua en sus procesos internos.¿Qué harás en tu nuevo puesto?- Planificar, coordinar y supervisar proyectos tecnológicos en el sector de seguros.- Implementar y promover metodologías ágiles en los squads de trabajo.- Garantizar la entrega de proyectos dentro de los plazos y presupuestos establecidos, estableciendo KPI...",https://www.jobijoba.es/oferta-empleo/69/d36a6a3f040bca932b8074549fccd607?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Jobijoba,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3Dr17CMLPbpKbuYpIDAAAAAA%3D%3D&vssid=jobs-detail-viewer,
HovQJDVmzfEKHE7fAAAAAA==,SAP Project Manager / Scrum Master,CNT Management Consulting,,,,False,A tiempo completo,,,,,"As a leading consulting company for SAP software, especially for SAP S/4HANA transformations and SAP Cloud solutions, CNT Management Consulting has been one of the top international consultancies for 25 years. With over 450 business process experts and SAP consultants in seven European countries as well as in the USA, we successfully support the digital transformation of corporations, mid-sized companies and public organizations. CNT Management Consulting offers method and consulting expertise f...",https://es.linkedin.com/jobs/view/sap-project-manager-scrum-master-at-cnt-management-consulting-4351849769?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,LinkedIn,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DHovQJDVmzfEKHE7fAAAAAA%3D%3D&vssid=jobs-detail-viewer,
GkLoXTT-aeO_kvZ8AAAAAA==,Project Manager (Scrum Manager),Codeoscopic,Antas de Ulla,Lugo,ES,False,A tiempo completo,,,,,"En el Grupo Codeoscopic trabajamos cada día para que encuentres el lugar para desarrollar tu identidad y capacidades. Somos una empresa que se adapta a los tiempos y quiere construir un futuro de éxito con sus La descripción completa del puesto cubre todas las habilidades asociadas, la experiencia previa y cualquier cualificación que se espera que tengan los solicitantes. ¡¡Personas para integrarse en el equipo de Codeoscopic como INSURANCE PROJECT MANAGER, para crear y evolucionar las aplicacio...",https://es.talent.com/view?id=bdf3adbe22da&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Talent.com,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3DGkLoXTT-aeO_kvZ8AAAAAA%3D%3D&vssid=jobs-detail-viewer,
nfb_aC8QlxnZZPMhAAAAAA==,Scrum Master / IT Project Manager,Cognodata,Granada,Granada,ES,False,A tiempo completo,,,,,"En Cognodata, consultora líder en soluciones IA/BI y transformación digital, ayudamos a nuestros clientes a convertir datos en decisiones con impacto real en el negocio. ¿Te apasiona la metodología Agile y la gestión de proyectos digitales ? ¿Quieres formar parte de un proyecto innovador? ¡Esta oportunidad es para ti! Buscamos un Scrum Master / IT Project Manager para proyecto del sector ferroviario. Ubicación: Madrid (con teletrabajo parcial) Inicio: Febrero / Marzo 2026 Sobre el rol: Para nues...",https://es.jooble.org/jdp/-7558301494650363661?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,,Jooble,,[],,,https://www.google.com/search?q=jobs&gl=es&hl=es&udm=8#vhid=vt%3D20/docid%3Dnfb_aC8QlxnZZPMhAAAAAA%3D%3D&vssid=jobs-detail-viewer,
