job_id,title,employer_name,city,state,country,is_remote,employment_type,min_salary,max_salary,salary_currency,salary_period,description,apply_link,posted_at_datetime,job_publisher,required_experience,required_skills,required_education,benefits,google_link,expiration_datetime
CPjxwkH4vJLST2tMAAAAAA==,"Software Engineer-C, C++, Systems Programming, Distributed Systems",Org_Subtype_BU022_Infrastructure_Solutions_Group,Bengaluru,Karnataka,IN,False,Full–time,,,,,"Software Engineer 2 The Software Engineering team delivers next-generation software application enhancements and new products for a changing world. Working at the cutting edge, we design and develop software for platforms, peripherals, applications and diagnostics — all with the most advanced technologies, tools, software engineering methodologies and the collaboration of internal and external partners. Join us to do the best work of your career and make a profound social impact as a Software En...",https://jobs.dell.com/en/job/bengaluru/software-engineer-c-c-systems-programming-distributed-systems/375/90641911872?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-16T00:00:00.000Z,Dell Careers - Dell Technologies,,[],,,https://www.google.com/search?q=jobs&gl=in&hl=en&udm=8#vhid=vt%3D20/docid%3DCPjxwkH4vJLST2tMAAAAAA%3D%3D&vssid=jobs-detail-viewer,
6seTFEycjGz1KeP3AAAAAA==,"Manager, Software Engineering - IOS - Player Team, Bangalore",Warner Bros. Discovery,Bengaluru,Karnataka,IN,False,Full–time,,,,,"Welcome to Warner Bros. Discovery… the stuff dreams are made of. Who We Are… When we say, “the stuff dreams are made of,” we’re not just referring to the world of wizards, dragons and superheroes, or even to the wonders of Planet Earth. Behind WBD’s vast portfolio of iconic content and beloved brands, are the storytellers bringing our characters to life, the creators bringing them to your living rooms and the dreamers creating what’s next… From brilliant creatives, to technology trailblazers, ac...",https://careers.wbd.com/global/en/job/R000098534/Manager-Software-Engineering-IOS-Player-Team-Bangalore?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-16T00:00:00.000Z,WBD Careers - Warner Bros. Discovery,,[],,,https://www.google.com/search?q=jobs&gl=in&hl=en&udm=8#vhid=vt%3D20/docid%3D6seTFEycjGz1KeP3AAAAAA%3D%3D&vssid=jobs-detail-viewer,
Kb-eMn-PQ0eZ94_WAAAAAA==,Senior Software Engineer – Agentic AI,Qualcomm,Bengaluru,Karnataka,IN,False,Full–time,,,,,"Company: Qualcomm India Private Limited Job Area: Engineering Group, Engineering Group > Software Engineering General Summary: Minimum Qualifications: • Bachelor's degree in Engineering, Information Systems, Computer Science, or related field and 2+ years of Software Engineering or related work experience. OR Master's degree in Engineering, Information Systems, Computer Science, or related field and 1+ year of Software Engineering or related work experience. OR PhD in Engineering, Information Sy...",https://careers.qualcomm.com/careers/job/446716217053-senior-software-engineer-%E2%80%93-agentic-ai-bangalore-karnataka-india?domain=qualcomm.com&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-16T00:00:00.000Z,Qualcomm Careers,,[],,,https://www.google.com/search?q=jobs&gl=in&hl=en&udm=8#vhid=vt%3D20/docid%3DKb-eMn-PQ0eZ94_WAAAAAA%3D%3D&vssid=jobs-detail-viewer,
4oXV8HKlVgZwuPbnAAAAAA==,Senior Software Engineer - Python IRC283103,Hitachi Careers,Bengaluru,Karnataka,IN,False,Full–time,,,,,"Description We're a Product & Engineering team focused on optimizing the impact that advertising has for audiences and the brands we work with. We do this by optimizing media buying and employing dynamic creative to deliver impactful and relevant messages. Getting these messages to the right audience, on the right medium, at moments and locations that matter, via channels and for a budget that is optimal for the brands we work with, is where we operate. Our culture is based on mutual trust, shar...",https://careers.hitachi.com/jobs/17214365-senior-software-engineer-python-irc283103?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-13T00:00:00.000Z,Hitachi Careers - Hitachi Global,,[],,,https://www.google.com/search?q=jobs&gl=in&hl=en&udm=8#vhid=vt%3D20/docid%3D4oXV8HKlVgZwuPbnAAAAAA%3D%3D&vssid=jobs-detail-viewer,
VDyrXfEVV8nWc7y7AAAAAA==,"Software Engineer, AVP",NatWest Digital X,Bengaluru,Karnataka,IN,False,Full–time,,,,,"Join us as a Software Engineer • This is an opportunity for a driven Software Engineer to take on an exciting new career challenge • Day-to-day, you'll build a wide network of stakeholders of varying levels of seniority • It’s a chance to hone your existing technical skills and advance your career • We're offering this role at associate vice president level What you'll do In your new role, you’ll engineer and maintain innovative, customer centric, high performance, secure and robust solutions. Y...",https://jobs.natwestgroup.com/jobs/17218981-software-engineer-avp?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-14T00:00:00.000Z,NatWest Group Careers,,[],,,https://www.google.com/search?q=jobs&gl=in&hl=en&udm=8#vhid=vt%3D20/docid%3DVDyrXfEVV8nWc7y7AAAAAA%3D%3D&vssid=jobs-detail-viewer,
g7RMmFTlPYjb7s0kAAAAAA==,Senior Software Engineer(React & Python with AI Capabilities),S&P Global,Bengaluru,Karnataka,IN,False,Full–time,,,,,"About the Role: Grade Level (for internal use): 10 The Role: Senior Software Engineer(React & Python) The Team: EDO Data Engineering team is highly adaptable, with members skilled in multiple technology stacks, enabling us to take on diverse projects. This versatility allows our team to navigate different project requirements effectively. This ability to shift between technologies and projects can contribute to our team’s success in tackling a wide range of challenges. The Impact: This position ...",https://careers.spglobal.com/jobs/323071?lang=en-us&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-13T00:00:00.000Z,S&P Global Careers,,[],,,https://www.google.com/search?q=jobs&gl=in&hl=en&udm=8#vhid=vt%3D20/docid%3Dg7RMmFTlPYjb7s0kAAAAAA%3D%3D&vssid=jobs-detail-viewer,
8d7IyANfwTiBM_VsAAAAAA==,React Native-Software Engineer-BF-32683-43328- JR179986,Carelon Global Solutions India,Bengaluru,Karnataka,IN,False,Full–time,,,,,Position Title React Native-Software Engineer-BF-32683-43328- JR179986 Job Family IFT > Engineering /Dev Shift Job Description: Job Title Software Engineer Requirement Type Full-Time Employee Job Location Bangalore/Gurugram Requirement Level Associate Hiring Manager Team Lead Primary Skill React Native Business Sydney community Skill Category Niche About Elevance Health Elevance Health is a leading health company in America dedicated to improving lives and communities and making healthcare simpl...,https://in.linkedin.com/jobs/view/react-native-software-engineer-bf-32683-43328-jr179986-at-carelon-global-solutions-india-4363555657?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-16T14:00:00.000Z,LinkedIn,,[],,,https://www.google.com/search?q=jobs&gl=in&hl=en&udm=8#vhid=vt%3D20/docid%3D8d7IyANfwTiBM_VsAAAAAA%3D%3D&vssid=jobs-detail-viewer,
Gtij0IfEB5zIKqroAAAAAA==,Senior Software Engineer with SRE- 100% Remote,VGreen Technology Solutions (VGreenTEK),Bengaluru,Karnataka,IN,True,Full–time,,,,,"Position: Senior Software Engineer - SRE Experience: 6+years Job Type: Fulltime, Permanent Job Location: 100% Remote Core Skills Summary - Software Engineering (60-70%) • Strong programming skills in Python, JavaScript (Node.js), and Java for building tools, automations, and integrations • API design and integration experience with internal systems and third-party platforms • Ability to work with structured and unstructured data for monitoring, logging, and automation • Kubernetes expertise (mus...",https://in.linkedin.com/jobs/view/senior-software-engineer-with-sre-100%25-remote-at-vgreen-technology-solutions-vgreentek-4361570904?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-13T00:00:00.000Z,LinkedIn,,[],,,https://www.google.com/search?q=jobs&gl=in&hl=en&udm=8#vhid=vt%3D20/docid%3DGtij0IfEB5zIKqroAAAAAA%3D%3D&vssid=jobs-detail-viewer,
cl_7xTICu6zGep0lAAAAAA==,Workday Core HCM-Software Engineer,NR Consulting - India,Bengaluru,Karnataka,IN,False,Full–time,,,,,Title : Workday Core HCM-Software Engineer Developer Location : Bengaluru Exp : Minimum 12 year(s) of experience Job Description : Roles & Responsibilities : • Expected to be an SME. • Collaborate and manage the team to perform. • Responsible for team decisions. • Engage with multiple teams and contribute on key decisions. • Expected to provide solutions to problems that apply across multiple teams. • Facilitate knowledge sharing sessions to enhance team capabilities. • Monitor project progress ...,https://in.talent.com/view?id=f1fc78700de6&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-17T00:00:00.000Z,Talent.com,,[],,,https://www.google.com/search?q=jobs&gl=in&hl=en&udm=8#vhid=vt%3D20/docid%3Dcl_7xTICu6zGep0lAAAAAA%3D%3D&vssid=jobs-detail-viewer,
0KSbRvEpy1YDRAf1AAAAAA==,Software Engineer - SQL,Esyasoft Technologies Private Limited,Bengaluru,Karnataka,IN,False,Full–time,,,,,"Job Responsibilities : • Responsible to work with development team to develop, implement, and manage data base models for core product development. • Responsible to write SQL database views, tables, and stored procedures to support engineering product development. • Responsible for designing and maintaining SSIS, T-SQL, and SQL jobs. • Responsible for developing and maintaining complex stored procedures for loading data into staging tables from OLTP, and other intermediary systems. • Responsible...",https://in.talent.com/view?id=f5e5e7a8b55e&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-01-16T00:00:00.000Z,Talent.com,,[],,,https://www.google.com/search?q=jobs&gl=in&hl=en&udm=8#vhid=vt%3D20/docid%3D0KSbRvEpy1YDRAf1AAAAAA%3D%3D&vssid=jobs-detail-viewer,
